Carbohydrate:,Fat,saturates,Salt (g),Protein g,Energy (kcal),Energy kg/kcal,Dietary fibre,Of which saturates,Carbohydrates:,Energy kcal,Carbohydrates,(kcal),Protein:,Carbohydrate g,Energy kJ,monounsaturates,Saturates,Energy value,Energy:,kcal,Proteins,Total Omega  3,reviews,Fiber,name,starch,Fibre (g),Protein,Protein (g),item_code,Energy  kJ,Mono unsaturates,and EPA,Energy (kJ),Trans Fat,price,Carbohydrate,Of which Sugars,Fibre,Carbohydrates (g),polyunsaturates,Country of Origin,sugars,unit,Energy,Total fat,Fibre g,Fat:,Polyunsaturates,Monounsaturates,rating,Polyols,Fat (g),Of which Saturates,Salt,Sodium,mono unsaturates,url,Energy kJ/kcal,Sugars,Starch,Of which sugars,Fat g,Salt g,Total Sugars,Salt:,Fats
,18.5g,,,,,,,,,266kcal,,,,,,,6.5g,,,,,,0,,Sainsbury's British Pork Shoulder Joint 1.9kg,,,23.3g,,7944599,,,,,,£5.00/unit,1.2g,,0.6g,,,Packed in United Kingdom; Produced using British pork,,unit,1106kJ,,,,4.0g,7.2g,0.0,,,,0.17g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1254598&urlRequestType=Base&categoryId=411855&catalogId=10100&langId=44,,<0.5g,,,,,,,
,9.7g,,,,,,,,,196kcal,,,,,,,2.6g,,,,,,52,,"Sainsbury's Whole Chicken Free Range, Taste the Difference (approx. 900g-2.2kg)",,,27.0g,,59398,,,,,,£5.85/kg,<0.5g,,<0.5g,,,"Produced in United Kingdom; Produced from British Chicken, British chicken",,kg,820kJ,,,,2.5g,4.1g,3.0385,,,,0.19g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-free-range-whole-chicken--taste-the-difference-900g---22kg,,<0.5g,,,,,,,
,9.0g,,,,,,,,,182kcal,,,,,,,2.4g,,,,,,30,,"Sainsbury's Roast in the Bag Whole British Chicken with Pork, Sage & Onion Stuffing 1.35kg",,,24.1g,,558075,,,,,,£4.50/unit,1.0g,,0g,,,Produced in United Kingdom; Produced using British chicken and pork,,unit,760kJ,,,,2.3g,3.8g,3.9333,,,,0.42g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-whole-chicken-with-sage---onion-stuffing-145kg,,<0.5g,,,,,,,
,18.7g,,,,,,,,,239kcal,,,,,,,9.5g,,,,,,27,,Sainsbury's Lamb Whole Leg,,,17.6g,,48385,,,,,,£9.00/kg,<0.5g,,<0.5g,,,"Produce of United Kingdom; Produced in United Kingdom; Produced from British, New Zealand; Produced using British lamb, New Zealand lamb",,kg,992kJ,,,,0.8g,7.3g,3.6667,,,,0.23g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-lamb-whole-leg-%28approx-205kg%29,,<0.5g,,,,,,,
,11.6g,,,,,,,,,206kcal,,,,,,,2.9g,,,,,,14,,Sainsbury's Whole Chicken 1.9kg,,,25.2g,,7874963,,,,,,£4.65/unit,<0.5g,,<0.5g,,,"Produced in United Kingdom; Produced from British chicken; Produced using British chicken, Northern Irish chicken",,unit,860kJ,,,,2.9g,5.2g,3.7857,,,,0.17g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-whole-chicken-19kg,,<0.5g,,,,,,,
,9.6g,,,,,,,,,197kcal,,,,,,,2.8g,,,,,,28,,Sainsbury's Whole Chicken Corn Fed (approx. 900g-2.2kg),,,27.5g,,54010,,,,,,£4.50/kg,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced from British chicken,,kg,825kJ,,,,2.1g,5.8g,4.1429,,,,0.17g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-corn-fed-whole-chicken-%28approx-155kg%29,,<0.5g,,,,,,,
,7.5g,,,,,,,,,179kcal,,,,,,,2.3g,,,,,,20,,"Sainsbury's Free Range Whole Chicken, SO Organic (approx. 900g-2.2kg)",,,27.8g,,32131,,,,,,£6.95/kg,<0.5g,,<0.5g,,,"Produced in Scotland, United Kingdom; Produced from British Organic Chicken, British chicken, Scottish chicken",,kg,753kJ,,,,1.6g,3.3g,2.95,,,,0.19g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-whole-chicken--so-organic-%28approx-175kg%29,,<0.5g,,,,,,,
,11.6g,,,,,,,,,206kcal,,,,,,,2.9g,,,,,,6,,Sainsbury's Whole Chicken 1.6kg,,,25.2g,,7875193,,,,,,£3.65/unit,<0.5g,,<0.5g,,,"Produced in United Kingdom; Produced from British chicken; Produced using British chicken, Northern Irish chicken",,unit,860kJ,,,,2.9g,5.2g,4.1667,,,,0.17g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-whole-chicken-16kg,,<0.5g,,,,,,,
,18.7g,,,,,,,,,239kcal,,,,,,,9.5g,,,,,,35,,Sainsbury's Lamb Half Leg,,,17.6g,,48408,,,,,,£9.00/kg,<0.5g,,<0.5g,,,"Produce of United Kingdom; Produced in United Kingdom; Produced from British, New Zealand; Produced using British Lamb, New Zealand Lamb",,kg,992kJ,,,,0.8g,7.3g,2.5714,,,,0.23g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-lamb-half-leg-%28approx-1kg%29,,<0.5g,,,,,,,
,8.6g,,,,,,,,,172kcal,,,,,,,2.3g,,,,,,17,,"Sainsbury's Roast in the Bag Garlic & Parsley Basted Whole British Chicken, Garlic & Parsley Basted 1.4kg",,,23.5g,,6481855,,,,,,£4.50/unit,<0.5g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,722kJ,,,,2.2g,3.7g,3.1176,,,,0.35g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-garlic-basted-whole-chicken-135kg,,<0.5g,,,,,,,
,12.1g,,,,,,,,,210kcal,,,,,,,5.6g,,,,,,46,,"Sainsbury's 30 Day Matured British Beef Roasting Joint, Taste the Difference 1kg - 1.8kg",,,25.2g,,74896,,,,,,£12.00/kg,<0.5g,,<0.5g,,,Produced in United Kingdom; Packed in United Kingdom; Produced using British Beef,,kg,876kJ,,,,0.2g,5.8g,2.587,,,,0.25g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-beef-roasting-joint-large--taste-the-difference-%28approx-1738kg%29,,<0.5g,,,,,,,
,6.9g,,,,,,,,,165kcal,,,,,,,1.8g,,,,,,29,,"Sainsbury's Roast in the Bag British Chicken Crown with Lemon, Garlic & Thyme 700g",,,25.2g,,7713105,,,,,,£4.45/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,691kJ,,,,1.6g,3.1g,4.3793,,,,0.29g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-chicken-crown-with-lemon---thyme-700g,,<0.5g,,,,,,,
,19.1g,,,,,,,,,235kcal,,,,,,,9.5g,,,,,,19,,Sainsbury's Lamb Half Shoulder,,,15.9g,,48422,,,,,,£8.50/kg,<0.5g,,<0.5g,,,"Produce of United Kingdom; Produced in United Kingdom; Produced from British, New Zealand; Produced using British Lamb, New Zealand Lamb",,kg,976kJ,,,,0.8g,7.7g,2.5789,,,,0.20g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-lamb-half-shoulder-%28approx-105kg%29,,<0.5g,,,,,,,
,19.1g,,,,,,,,,235kcal,,,,,,,9.5g,,,,,,31,,Sainsbury's Lamb Boneless Shoulder (approx. 767g),,,15.9g,,48446,,,,,,£12.00/kg,<0.5g,,<0.5g,,,"Produced in New Zealand, United Kingdom; Produced from British, New Zealand; Produced using British Lamb, New Zealand Lamb",,kg,976kJ,,,,0.8g,7.7g,2.4516,,,,0.20g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-lamb-boneless-shoulder-%28approx-730g%29,,<0.5g,,,,,,,
,19.9g,,,,,,,,,303kcal,,,,,,,6.9g,,,,,,3,,"Sainsbury's British Boneless Pork Belly Joint, Small",,,30.0g,,7423162,,,,,,£5.50/kg,0.6g,,0.8g,,,Packed in United Kingdom; Produced from British Pork; Produced using British pork,,kg,1263kJ,,,,4.3g,7.9g,5.0,,,,0.60g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-boneless-rind-on-pork-belly-joint-%28approx-700g%29,,<0.5g,,,,,,,
,15.9g,,,,,,,,,235kcal,,,,,,,6.1g,,,,,,11,,"Sainsbury's British Pork Shoulder Joint, Stuffed with Sage & Onion 1.1kg",,,20.2g,,7205352,,,,,,£5.50/unit,2.3g,,1.0g,,,Produced in United Kingdom; Produced using British pork,,unit,979kJ,,,,2.8g,6.2g,2.5455,,,,0.36g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-stuffed-pork-shoulder-joint--sage---onion-11kg,,0.7g,,,,,,,
,6.8g,,,,,,,,,162kcal,,,,,,,3.3g,,,,,,14,,Sainsbury's British Butterflied Lamb Leg (approx. 663g),,,25.1g,,6424645,,,,,,£12.50/kg,<0.5g,,0g,,,Produce of United Kingdom; Produced in United Kingdom; Produced from British,,kg,680kJ,,,,0.3g,2.5g,3.2143,,,,0.18g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-butterflied-lamb-leg-%28approx-750g%29,,<0.5g,,,,,,,
,9.1g,,,,,,,,,200kcal,,,,,,,2.8g,,,,,,21,,"Sainsbury's Norfolk Black Free Range Whole Chicken, Taste the Difference (approx. 1.65kg)",,,29.4g,,7568041,,,,,,£6.25/kg,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced from British Chicken,,kg,840kJ,,,,1.3g,4.6g,3.6667,,,,0.23g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-norfolk-black-whole-chicken--taste-the-difference-%28approx-11kg---22kg%29,,<0.5g,,,,,,,
,19.0g,,,,,,,,,290kcal,,,,,,,6.4g,,,,,,8,,Sainsbury's British Pork Shoulder Joint 1kg - 1.8kg,,,28.9g,,7899489,,,,,,£2.75/kg,0.6g,,0.6g,,,Packed in United Kingdom; Produced using British pork,,kg,1209kJ,,,,3.1g,8.5g,3.625,,,,0.10g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-pork-shoulder-joint-cw-600g---14kg,,<0.5g,,,,,,,
,8.7g,,,,,,,,,188kcal,,,,,,,3.2g,,,,,,9,,Sainsbury's British Pork Crackling Loin Joint 1kg - 1.8kg,,,26.1g,,7900332,,,,,,£5.50/kg,0.8g,,0.8g,,,Packed in United Kingdom; Produced using British pork,,kg,786kJ,,,,1.5g,3.2g,3.0,,,,1.20g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-pork-loin-joint-vw-cw,,<0.5g,,,,,,,
,9.7g,,,,,,,,,210kcal,,,,,,,3.7g,,,,,,5,,"Sainsbury's Pork Loin Joint, Taste the Difference 1kg",,,30.2g,,7786645,,4.2g,,,,£7.00/unit,<0.5g,,0.6g,,,Packed in United Kingdom,,unit,879kJ,,,,1.3g,,3.4,,,,0.13g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-pork-loin-joint--taste-the-difference-1000g,,,,,,,<0.5g,,
,12.1g,,,,,,,,,210kcal,,,,,,,5.6g,,,,,,9,,"Sainsbury's 30 Day Matured British Beef Slow Roasting Joint, Taste the Difference 1kg - 1.8kg",,,25.2g,,7341020,,,,,,£11.50/kg,<0.5g,,<0.5g,,,Produced in United Kingdom; Packed in United Kingdom; Produced using British Beef,,kg,876kJ,,,,0.2g,5.8g,3.0,,,,0.25g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-beef-slow-roast-joint--taste-the-difference-%28approx-1kg%29,,<0.5g,,,,,,,
,12.1g,,,,,,,,,210kcal,,,,,,,5.6g,,,,,,9,,"Sainsbury's 30 Day Matured Mini Beef Roasting Joint, Taste the Difference 500g",,,25.2g,,7875793,,,,,,£7.00/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Packed in United Kingdom; Produced using British Beef,,unit,876kJ,,,,0.2g,5.8g,2.8889,,,,0.25g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-mini-beef-roasting-joint--taste-the-difference-500g-7875793-p-44,,<0.5g,,,,,,,
,23.7g,,,,,,,,,321kcal,,,,,,,7.4g,,,,,,9,,"Sainsbury's Pork Belly Joint, Taste the Difference 650g",,,25.7g,,7786647,,,,,,£4.00/unit,0.7g,,1.0g,,,Packed in United Kingdom; Produced from Outdoor Bred British Pork,,unit,1334kJ,,,,4.6g,10.4g,2.4444,,,,0.18g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-pork-belly-joint--taste-the-difference-650g,,<0.5g,,,,,,,
,18.7g,,,,,,,,,239kcal,,,,,,,9.5g,,,,,,4,,"Sainsbury's Lamb Half Leg, SO Organic",,,17.6g,,70416,,,,,,£13.00/kg,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced using British beef,,kg,992kJ,,,,0.8g,7.3g,3.5,,,,0.23g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-lamb-half-leg--so-organic-%28approx-218kg%29,,<0.5g,,,,,,,
,3.7g,,,,,,,,,171kcal,,,,,,,1.8g,,,,,,5,,"Sainsbury's 30 Day Matured Small Roasting Joint, SO Organic 600g",,,34.1g,,7876569,,,,,,£7.50/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Packed in United Kingdom; Produced from British Beef,,unit,721kJ,,,,0.2g,1.6g,3.4,,,,0.15g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-small-roasting-joint--so-organic-600g,,<0.5g,,,,,,,
,4.7g,,,,,,,,,168kcal,,,,,,,2.1g,,,,,,28,,Sainsbury's Beef Mince 5% Fat 500g,,,31.0g,,7542971,,,,,,£3.50/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced using British or Irish beef,,unit,707kJ,,,,<0.1g,2.3g,4.1429,,,,0.23g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-beef-mince-5-fat-500g,,<0.5g,<0.5g,,,,,,
,20.0g,,,,,,,,,267kcal,,,,,,,3.3g,,,,,,45,,Sainsbury's Responsibly Sourced Scottish Salmon Fillets x2 240g,,,21.5g,,6447344,,,,,,£3.50/unit,<0.5g,,<0.5g,,,Packed in United Kingdom; Farmed in Scotland; Produced from Farmed Scottish (UK) Atlantic Salmon (Salmo salar),,unit,1111kJ,,,,5.6g,,3.6667,,,,0.33g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-responsibly-sourced-scottish-salmon-fillet-x2-240g,,<0.5g,,,,,,,
,3.3g,,,,,,,,,118kcal,,,,,,,1.2g,,,,,,11,,Sainsbury's British Breaded Ham 120g,,,21.1g,,7103155,,1.8g,,,,£1.50/unit,0.9g,,<0.5g,,,Produced in United Kingdom. Produced using British Pork,,unit,496kJ,,,,0.2g,,3.0,,,,1.63g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-breaded-ham-120g,,,<0.5g,,,,<0.5g,,
,1.8g,,,,,,,,,122kcal,,,,,,,0.6g,,,,,,25,,"Sainsbury's Air Dried Ham Lean Finely Sliced, Taste the Difference 120g",,,25.9g,,7554911,,,,,,£2.50/unit,0.6g,,0g,,,Produced in United Kingdom; Produced from British pork,,unit,517kJ,,,,0.3g,0.8g,3.12,,,,2.68g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-air-dried-lean-ham-finely-sliced--taste-the-difference-120g,,0.6g,0g,,,,,,
,2.2g,,,,,,,,,110kcal,,,,,,,0.7g,,,,,,9,,Sainsbury's Honey Roast British Ham Slices x7 120g,,,21.1g,,7103166,,,,,,£1.75/unit,1.7g,,0g,,,Produced in United Kingdom; Produced from British Pork,,unit,467kJ,,,,,,2.7778,,,,1.63g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-honey-roast-ham-120g,,1.7g,,,,,,,
,1.6g,,,,,,,,,137kcal,,,,,,,0.5g,,,,,,37,,Sainsbury's Chicken Breast Fillets 640g,,,30.6g,,7874927,,,,,,£4.20/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken; Produced from British chicken,,unit,582kJ,,,,,,2.0811,,,,0.14g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-whole-chicken-breast-fillets-640g,,<0.5g,,,,,,,
,3.3g,,,,,,,,,118kcal,,,,,,,1.2g,,,,,,7,,Sainsbury's Breaded Ham Slices x14 240g,,,21.1g,,7642393,,1.8g,,,,£2.50/unit,0.9g,,<0.5g,,,Produced in United Kingdom. Produced using British Pork,,unit,496kJ,,,,0.2g,,4.1429,,,,1.63g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-breaded-ham-240g,,,<0.5g,,,,<0.5g,,
,15.0g,,,,,,,,,239kcal,,,,,,,5.3g,,,,,,35,,Sainsbury's Butcher's Choice Pork Sausages x8 454g,,,14.0g,,6025936,,,,,,£1.50/unit,12.0g,,<0.5g,,,Produced in United Kingdom; Produced using British Pork,,unit,997kJ,,,,3.0g,6.1g,3.2857,,,,1.45g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-butchers-choice-pork-sausages--large-x8-454g,,2.7g,9.3g,,,,,,
,1.3g,,,,,,,,,98kcal,,,,,,,0.3g,,,,,,28,,"Sainsbury's Cod Fillets, Boneless & Skinless 250g",,,21.5g,,7253595,,,,,,£3.40/unit,0g,,0g,,,Packed in United Kingdom; Caught in North-East Atlantic,,unit,414kJ,,,,,,3.0,,,,0.19g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-cod-fillets--boneless-260g,,0g,,,,,,,
,9.8g,,,,,,,,,200kcal,,,,,,,2.7g,,,,,,50,,Sainsbury's Fishcakes Melting Middle Smoked Haddock with Cheddar & Leek Taste the Difference x2 290g,,,9.7g,,7442857,,,,,,£2.50/unit,17.8g,,0.9g,,,"Produced in United Kingdom; Produced using Produced in the UK using haddock caught with hooks and lines in the North Sea, Barents Sea, Norwegian Sea or Iceland Grounds",,unit,836kJ,,,,2.0g,4.1g,4.26,,,,0.67g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-melting-middle-smoked-haddock-with-cheddar---leek-fishcakes--taste-the-difference-x2-290g,,1.1g,16.7g,,,,,,
,<0.5g,,,,,,,,,62kcal,,,,,,,<0.1g,,,,,,7,,Sainsbury's King Prawns 150g,,,14.1g,,7549868,,,,,,£2.60/unit,<0.5g,,<0.5g,,,Packed in United Kingdom,,unit,262kJ,,,,<0.1g,<0.1g,3.7143,,,,1.50g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-king-prawns-155g,,<0.5g,,,,,,,
,43.1g,,,,,,,,,481kcal,,,,,,,14.8g,,,,,,30,,Sainsbury's Spanish Chorizo Ring 225g,,,22.4g,,7317686,,19.5g,,,,£2.00/unit,0.9g,,<0.5g,,,,,unit,1992kJ,,,,8.0g,,3.4,,,,3.70g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-spicy-chorizo-ring-225g,,,,,,,0.6g,,
,1.6g,,,,,,,,,137kcal,,,,,,,0.5g,,,,,,238,,Sainsbury's Chicken Breast Fillets 1kg,,,30.6g,,7870766,,,,,,£6.00/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken; Produced from British chicken,,unit,582kJ,,,,,,4.1891,,,,0.14g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-chicken-fillets-1kg,,<0.5g,,,,,,,
,2.8g,,,,,,,,,118kcal,,,,,,,1.0g,,,,,,2,,Sainsbury's British Cooked Ham 120g,,,22.3g,,7103124,,1.5g,,,,£1.75/unit,0.9g,,<0.5g,,,,,unit,498kJ,,,,0.2g,,2.5,,,,1.63g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-cooked-ham-120g,,,<0.5g,,,,0.9g,,
,21.6g,,,,,,,,,289kcal,,,,,,,8.0g,,,,,,21,,Sainsbury's Chicken Kiev Garlic x2 260g,,,13.8g,,410175,,,,,,£2.15/unit,9.6g,,0.7g,,,Produced in United Kingdom; Produced using British chicken,,unit,1203kJ,,,,3.5g,8.8g,3.7619,,,,0.60g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-breaded-garlic-chicken-kievs-x2-260g,,0.7g,8.9g,,,,,,
,2.8g,,,,,,,,,140kcal,,,,,,,0.9g,,,,,,9,,"Sainsbury's Honey Roast Ham Air Dried Lean Finely Sliced, Taste the Difference 120g",,,28.0g,,7554964,,,,,,£2.00/unit,0.8g,,0g,,,Produced in United Kingdom; Produced from British pork,,unit,593kJ,,,,0.4g,1.2g,3.2222,,,,2.78g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-honey-roast-air-dried-lean-ham-finely-sliced--taste-the-difference-120g,,0.8g,0g,,,,,,
,8.1g,,,,,,,,,195kcal,,,,,,,0.6g,,,,,,28,,"Sainsbury's Breaded Chunky Cod, Taste the Difference x2 350g",,,15.4g,,7441195,,,,,,£3.50/unit,14.6g,,1.0g,,,Produced in United Kingdom,,unit,817kJ,,,,1.9g,5.0g,4.0,,,,0.57g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-breaded-chunky-cod--taste-the-difference-x2-350g,,1.0g,13.6g,,,,,,
,17.0g,,,,,,,,,251kcal,,,,,,,5.7g,,,,,,26,,Sainsbury's Butcher's Choice Cumberland Pork Sausages x8 454g,,,15.0g,,6025948,,,,,,£1.50/unit,9.4g,,<0.5g,,,Produced in United Kingdom; Produced using British Pork,,unit,1046kJ,,,,3.6g,6.8g,2.5,,,,1.45g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-butchers-choice-cumberland-pork-sausages-x8-454g,,1.4g,8.0g,,,,,,
,2.9g,,,,,,,,,105kcal,,,,,,,1.0g,,,,,,3,,Sainsbury's British Ham Slices x10 115g,,,18.8g,,7135683,,,,,,£0.80/unit,0.9g,,<0.5g,,,Produced in United Kingdom; Produced from British pork,,unit,443kJ,,,,,,4.3333,,,,1.63g,,,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-cooked-ham-125g,,0.9g,,,,,,,
